base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
ScienceDirect,S5,SD5 — Lesões gástricas,SI2024116530,Identification of chronic non-atrophic gastritis and intestinal metaplasia stages in the Correa's cascade through machine learning analyses of SERS spectral signature of non-invasively-collected human gastric fluid samples,Yu-Ting Si; Xue-Song Xiong; Jin-Ting Wang; Quan Yuan; Yu-Ting Li; Jia-Wei Tang; Yong-Nian Li; Xin-Yu Zhang; Zheng-Kang Li; Jin-Xin Lai; Zeeshan Umar; Wei-Xuan Yang; Fen Li; Liang Wang; Bing Gu,2024,https://doi.org/10.1016/j.bios.2024.116530,Biosensors and Bioelectronics,duplicate,Duplicata de 'Identification of chronic non-atrophic gastritis and intestinal metaplasia stage…' já presente em PubMed/S3.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,YOU202622,Selection of the best artificial intelligence techniques for analysis of gastrointestinal endoscopic images,Guoli You; Yang Yang; Yang Shen,2026,https://doi.org/10.1016/j.ajg.2025.09.021,Arab Journal of Gastroenterology,duplicate,Duplicata de 'Selection of the best artificial intelligence techniques for analysis of gastroi…' já presente em PubMed/S2.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,YAN2020104026,Intelligent diagnosis of gastric intestinal metaplasia based on convolutional neural network and limited number of endoscopic images,Tao Yan; Pak Kin Wong; I. Cheong Choi; Chi Man Vong; Hon Ho Yu,2020,https://doi.org/10.1016/j.compbiomed.2020.104026,Computers in Biology and Medicine,duplicate,Duplicata de 'Intelligent diagnosis of gastric intestinal metaplasia based on convolutional ne…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,MA2021104363,Relationship between helicobacter pylori infection and type 2 diabetes using machine learning BPNN mathematical model under community information management,Huan Ma; Juan Xiao; Zhaoxu Chen; Dong Tang; Yuqiang Gao; Shuhui Zhan; Eman Ghonaem; Mohammed Yousuf Abo Keir,2021,https://doi.org/10.1016/j.rinp.2021.104363,Results in Physics,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,GHOLAMI2021102782,Increasing the accuracy in the diagnosis of stomach cancer based on color and lint features of tongue,Elham Gholami; Seyed Reza Kamel Tabbakh; Maryam kheirabadi,2021,https://doi.org/10.1016/j.bspc.2021.102782,Biomedical Signal Processing and Control,duplicate,Duplicata de 'Increasing the accuracy in the diagnosis of stomach cancer based on color and li…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,LOPES2026S-2536,Sa1170 FROM TISSUE TO SALIVA: SLC5A5 AS A POTENTIAL BIOMARKER FOR EARLY GASTRIC CANCER,Catarina Lopes; Andreia Brandão; Dimitris Vavoulis; Sofia Paulino; João Costa; Inês Marques-de-Sá; Sara Archer; Ricardo Kuttner-Magalhães; Ricardo Marques-Pinto; Diogo Libânio; Mario J. Dinis-Ribeiro; Ana Carina Pereira,2026,https://doi.org/10.1016/S0016-5085(26)06011-7,Gastroenterology,included,Sem abstract; recuperado por string forte (ScienceDirect/S5) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,GOVINDHARAJ2026109646,Efficient gastric tumor detection from endoscopic images using trans-mapped learning models,I. Govindharaj; Gnanajeyaraman Rajaram; S. Ravichandran; J. Viswanath; R. Elankavi; J. Raja,2026,https://doi.org/10.1016/j.bspc.2026.109646,Biomedical Signal Processing and Control,duplicate,Duplicata de 'Efficient gastric tumor detection from endoscopic images using trans-mapped lear…' já presente em ScienceDirect/S1.,ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,YU20225524,Noninvasive detection and interpretation of gastrointestinal diseases by collaborative serum metabolite and magnetically controlled capsule endoscopy,Xiang-Tian Yu; Ming Chen; Jingyi Guo; Jing Zhang; Tao Zeng,2022,https://doi.org/10.1016/j.csbj.2022.10.001,Computational and Structural Biotechnology Journal,duplicate,"Duplicata de 'Noninvasive detection and interpretation of gastrointestinal diseases by
collabo…' já presente em Web of Science/S1.",ScienceDirect/S5,sim
ScienceDirect,S5,SD5 — Lesões gástricas,CANAKIS2021543,Endoscopic Advances for Gastric Neoplasia Detection,Andrew Canakis; Raymond Kim,2021,https://doi.org/10.1016/j.giec.2021.03.007,Gastrointestinal Endoscopy Clinics of North America,duplicate,Duplicata de 'Endoscopic Advances for Gastric Neoplasia Detection…' já presente em ScienceDirect/S1.,ScienceDirect/S5,não
ScienceDirect,S5,SD5 — Lesões gástricas,FU2023107605,"Development and validation of LightGBM algorithm for optimizing of Helicobacter pylori antibody during the minimum living guarantee crowd based gastric cancer screening program in Taizhou, China",Xin-Yu Fu; Xin-Li Mao; Hao-Wen Wu; Jia-Ying Lin; Zong-Qing Ma; Zhi-Cheng Liu; Yue Cai; Ling-Ling Yan; Yi Sun; Li-Ping Ye; Shao-Wei Li,2023,https://doi.org/10.1016/j.ypmed.2023.107605,Preventive Medicine,included,DL/CV em endoscopia com achado do trato GI alto.,ScienceDirect/S5,sim
