base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,He2025,A unified framework harnessing multi-scale feature ensemble and attention mechanism for gastric polyp and protrusion identification in gastroscope imaging,"He, Chunyou; Zhang, Jingda; Liang, Yunxiao; Li, Hao",2025,,Scientific Reports,duplicate,Duplicata de 'A unified framework harnessing multi-scale feature ensemble and attention mechan…' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,An2024173,Application value of an artificial intelligence-based diagnosis and recognition system in gastroscopy training for graduate students in gastroenterology: a preliminary study,"An, Peng; Wang, Zhongqiu",2024,,Wiener Medizinische Wochenschrift,duplicate,Duplicata de 'Application value of an artificial intelligence-based diagnosis and recognition …' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Yanqi2020413,Precancerous Diseases Classification Based on Fusion of Shallow and Deep Features,"Yanqi, Pan; Rui, Chen; Xu, Zhang; Xinsen, Zhang; Jiquana, Liu; Weiling, Hu; Huilong, Duan; Jianmin, Si",2020,,Chinese Journal of Biomedical Engineering,duplicate,Duplicata de 'Precancerous Diseases Classification Based on Fusion of Shallow and Deep Feature…' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Pooja20241,Analyzing the evaluation metrics of detecting gastrointestinal tumor using segmentation techniques in endoscopic images,"Pooja, K.; Jerritta, S.",2024,,Onkologia i Radioterapia,duplicate,Duplicata de 'Analyzing the evaluation metrics of detecting gastrointestinal tumor using segme…' já presente em Scopus/S1.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Patra2024,Enhancing Diagnostic Precision for Early Detection of Gastric Polyps with U-Net3+ Segmentation,"Patra, Kumar Janardan; Mishra, Jibitesh; Dash, Sanjit Kumar; Jayasingh, Suvendra Kumar",2024,,"3rd Odisha International Conference on Electrical Power Engineering, Communication and Computing Technology, ODICON 2024",included,DL/CV em endoscopia com achado do trato GI alto.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Wu20211735,Application of artificial intelligence technology based on convolutional neural network in early gastric cancer recognition; [基于卷积神经网络的人工智能技术在早期胃癌识别中的应用],"Wu, Hongbo; Yao, Xingyu; Zeng, Lisha; Huang, Fang; Chen, Lei",2021,,Journal of Third Military Medical University,duplicate,Duplicata de 'Application of artificial intelligence technology based on convolutional neural …' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,2020,Applications of Machine Learning 2020,,2020,,Proceedings of SPIE - The International Society for Optical Engineering,included,DL/CV em endoscopia com achado do trato GI alto.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Krenzer2026276,Classification of Gastroscopy Images Under Extreme Class Imbalance: A Deep Learning Pipeline,"Krenzer, Adrian; Friedetzki, Tobias; Dietsch, Max; Puppe, Frank",2026,,Lecture Notes in Computer Science,duplicate,Duplicata de 'Classification of Gastroscopy Images Under Extreme Class Imbalance: A Deep Learn…' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Ma202545985,A Hybrid Attention-Based Fuzzy Pooling Network Model for Locating Polyp Positions in Gastroscopic Image in Internet of Medical Things,"Ma, Xiaoyu; Wang, Honghu; Ren, Xiaoxue; Ma, Yu",2025,,IEEE Internet of Things Journal,duplicate,Duplicata de 'A Hybrid Attention-Based Fuzzy Pooling Network Model for Locating Polyp Position…' já presente em Scopus/S2.,Scopus/S3,sim
Scopus,S3,Scopus S3 — Pólipos gástricos em endoscopia com IA,Laddha201955,Gastric polyp detection using deep convolutional neural network,"Laddha, Mayank; Jindal, Siddharth; Wojciechowski, Jakub",2019,,ACM International Conference Proceeding Series,included,DL/CV em endoscopia com achado do trato GI alto.,Scopus/S3,sim
