base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12916-025-04379-2,Artificial intelligence–assisted endoscopic diagnosis system for diagnosing <i>Helicobacter pylori</i> infection: a multicenter study,Yue Hu; Jianwei Xu; Liang Huang; Zhilin Zheng; Jin Zhao; Tanzhou Chen; Jiang Liu; Fangfang Zhang; Xiaoyun Ding; Jie Pan; Xiaoteng Wang; Shan Liu; Ling Zhang; Bin Lv,2025,10.1186/s12916-025-04379-2,BMC Medicine,duplicate,Duplicata de 'Artificial intelligence–assisted endoscopic diagnosis system for diagnosing Heli…' já presente em Scopus/S1.,Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1038_s41598-024-68866-x,Efficient artificial intelligence-based assessment of the gastroesophageal valve with Hill classification through active learning,Ioannis Kafetzis; Karl-Hermann Fuchs; Philipp Sodmann; Joel Troya; Wolfram Zoller; Alexander Meining; Alexander Hann,2024,10.1038/s41598-024-68866-x,Scientific Reports,duplicate,Duplicata de 'Efficient artificial intelligence-based assessment of the gastroesophageal valve…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,sim
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1007_s00535-024-02209-5,Multistage deep learning for classification of <i>Helicobacter pylori</i> infection status using endoscopic images,Guang Li; Ren Togo; Katsuhiro Mabe; Shunpei Nishida; Yoshihiro Tomoda; Fumiyuki Shiratani; Masashi Hirota; Takahiro Ogawa; Miki Haseyama,2025,10.1007/s00535-024-02209-5,Journal of Gastroenterology,included,"Título/keywords indicam DL/CV em endoscopia digestiva alta ou achado GI, mesmo sem abstract.",Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1007_978-981-19-5845-8_9,A Comprehending Deep Learning Approach for Disease Classification,Ankita Nainwal; Bhaskar Pant; Garima Sharma,2023,10.1007/978-981-19-5845-8_9,IoT Based Control Networks and Intelligent Systems,included,Sem abstract; recuperado por string forte (Springer-Nature-Link/S3) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s13020-024-00963-5,Development of an artificial intelligent model for pre-endoscopic screening of precancerous lesions in gastric cancer,Lan Wang; Qian Zhang; Peng Zhang; Bowen Wu; Jun Chen; Jiamin Gong; Kaiqiang Tang; Shiyu Du; Shao Li,2024,10.1186/s13020-024-00963-5,Chinese Medicine,duplicate,Duplicata de 'Development of an artificial intelligent model for pre-endoscopic screening of p…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,sim
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12876-022-02626-x,Establishing machine learning models to predict the early risk of gastric cancer based on lifestyle factors,Mohammad Reza Afrash; Mohsen Shafiee; Hadi Kazemi-Arpanahi,2023,10.1186/s12876-022-02626-x,BMC Gastroenterology,duplicate,Duplicata de 'Establishing machine learning models to predict the early risk of gastric cancer…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,sim
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1007_s11701-025-02555-3,"AI-driven robotic surgery in oncology: advancing precision, personalization, and patient outcomes",Jack Ng Kok Wah,2025,10.1007/s11701-025-02555-3,Journal of Robotic Surgery,included,Sem abstract; recuperado por string forte (Springer-Nature-Link/S3) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12911-023-02324-y,Intelligent identification system of gastric stromal tumors based on blood biopsy indicators,Shangjun Han; Meijuan Song; Jiarui Wang; Yalong Huang; Zuxi Li; Aijia Yang; Changsheng Sui; Zeping Zhang; Jiling Qiao; Jing Yang,2023,10.1186/s12911-023-02324-y,BMC Medical Informatics and Decision Making,duplicate,Duplicata de 'Intelligent identification system of gastric stromal tumors based on blood biops…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,sim
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12876-022-02589-z,Magnetic controlled capsule endoscope (MCCE)‘s diagnostic performance for <i>H. pylori</i> infection status based on the Kyoto classification of gastritis,Sun Xi; Liu Jing; Wu Lili; Li Tingting; Li Jun; Wang Ming; Wang Zhiqiang; Jin Peng,2022,10.1186/s12876-022-02589-z,BMC Gastroenterology,duplicate,Duplicata de 'Magnetic controlled capsule endoscope (MCCE)‘s diagnostic performance for <i>H. …' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,sim
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12876-025-03765-7,Factors influencing the incidence of early gastric cancer: a bayesian network analysis,Ruiyu Li; Taiming Yang; Zi Dong; Yin Gao; Nan Li; Ting Song; Jinshu Sun; Ying Chen,2025,10.1186/s12876-025-03765-7,BMC Gastroenterology,duplicate,Duplicata de 'Factors influencing the incidence of early gastric cancer: a bayesian network an…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1186_s12859-018-2477-7,"pyHIVE, a health-related image visualization and engineering system using Python",Ruochi Zhang; Ruixue Zhao; Xinyang Zhao; Di Wu; Weiwei Zheng; Xin Feng; Fengfeng Zhou,2018,10.1186/s12859-018-2477-7,BMC Bioinformatics,included,Sem abstract; recuperado por string forte (Springer-Nature-Link/S3) que já restringe a endoscopia alta + IA/DL e exclui colorretal — confiável.,Springer Nature Link/S3,não
Springer Nature Link,S3,Springer S3 — Pólipos gástricos,sp_10.1007_3-540-57868-4_81,Early screening for gastric cancer using machine learning techniques,W. Z. Liu; A. P. White; M. T. Hallissey,1994,10.1007/3-540-57868-4_81,Machine Learning: ECML-94,duplicate,Duplicata de 'Early screening for gastric cancer using machine learning techniques…' já presente em Springer Nature Link/S2.,Springer Nature Link/S3,não
