base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000464743900095,"Automated detection of fundic gland polyps from endoscopic images using
SSD","Shichi, Nagito; Totsuka, Arata; Hasegawa, Junichi; Shibata, Tomoyuki",2019,10.1117/12.2521431,INTERNATIONAL WORKSHOP ON ADVANCED IMAGE TECHNOLOGY (IWAIT) 2019,included,DL/CV em endoscopia com achado do trato GI alto.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:001037959800001,"Semantic Segmentation of Gastric Polyps in Endoscopic Images Based on
Convolutional Neural Networks and an Integrated Evaluation Approach","Yan, Tao; Qin, Ye Ying; Wong, Pak Kin; Ren, Hao; Wong, Chi Hong; Yao, Liang; Hu, Ying; Chan, I, Cheok; Gao, Shan; Chan, Pui Pun",2023,10.3390/bioengineering10070806,BIOENGINEERING-BASEL,included,DL/CV em endoscopia com achado do trato GI alto.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000673430200001,"Deep neural network approaches for detecting gastric polyps in
endoscopic images","Durak, Serdar; Bayram, Bulent; Bakirman, Tolga; Erkut, Murat; Dogan, Metehan; Gurturk, Mert; Akpinar, Burak",2021,10.1007/s11517-021-02398-8,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,duplicate,Duplicata de 'Deep neural network approaches for detecting gastric polyps in endoscopic images…' já presente em Scopus/S1.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000589899800025,"Automated detection of fundic gland polyps and hyperplastic polyps from
endoscopic images using SSD","Oshio, Koki; Shichi, Nagito; Hasegawa, Junichi; Shibata, Tomoyuki",2020,10.1117/12.2566318,INTERNATIONAL WORKSHOP ON ADVANCED IMAGING TECHNOLOGY (IWAIT) 2020,included,Visão computacional/DL aplicada a endoscopia digestiva alta.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:001147493600001,"A masked graph neural network model for real-time gastric polyp
detection in Healthcare 4.0","Huang, Junjun; Saw, Shier Nee; He, Tianran; Feng, Wei; Loo, Chu Kiong",2023,10.1016/j.jii.2023.100467,JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION,duplicate,Duplicata de 'A masked graph neural network model for real-time gastric polyp detection in Hea…' já presente em ScienceDirect/S6.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000662174400063,Gastric polyp detection in gastroscopic images using deep neural network,"Cao, Chanting; Wang, Ruilin; Yu, Yao; Zhang, Hui; Yu, Ying; Sun, Changyin",2021,10.1371/journal.pone.0250632,PLOS ONE,duplicate,Duplicata de 'Gastric polyp detection in gastroscopic images using deep neural network…' já presente em PubMed/S3.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000462157600038,Real-time gastric polyp detection using convolutional neural networks,"Zhang, Xu; Chen, Fei; Yu, Tao; An, Jiye; Huang, Zhengxing; Liu, Jiquan; Hu, Weiling; Wang, Liangjing; Duan, Huilong; Si, Jianmin",2019,10.1371/journal.pone.0214133,PLOS ONE,duplicate,Duplicata de 'Real-time gastric polyp detection using convolutional neural networks…' já presente em PubMed/S3.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:001029416800001,"Gastric polyp detection module based on improved attentional feature
fusion","Xie, Yun; Yu, Yao; Liao, Mingchao; Sun, Changyin",2023,10.1186/s12938-023-01130-x,BIOMEDICAL ENGINEERING ONLINE,duplicate,Duplicata de 'Gastric polyp detection module based on improved attentional feature fusion…' já presente em Scopus/S1.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:001424376600031,"A unified framework harnessing multi-scale feature ensemble and
attention mechanism for gastric polyp and protrusion identification in
gastroscope imaging","He, Chunyou; Zhang, Jingda; Liang, Yunxiao; Li, Hao",2025,10.1038/s41598-025-90034-y,SCIENTIFIC REPORTS,duplicate,Duplicata de 'A unified framework harnessing multi-scale feature ensemble and attention mechan…' já presente em PubMed/S3.,Web of Science/S3,sim
Web of Science,S3,WoS S3 — Pólipos gástricos em endoscopia com IA,WOS:000589895400008,"Gastric Polyps Detection Based on Endoscopic Video Using Modified Dense
Micro-Block Difference Descriptor","Zhdanova, M.; Voronin, V.; Semenishchev, E.; Balabaeva, O.; Zelensky, A.",2020,10.1117/12.2571398,APPLICATIONS OF MACHINE LEARNING 2020,included,DL/CV em endoscopia com achado do trato GI alto.,Web of Science/S3,sim
