base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
IEEE,S1,IEEE S1 — Principal: IA/DL em endoscopia digestiva alta,11370611,A Three-Dimensional Measurement Method for Binocular Endoscopes based on Deep Learning,"Yu, Hao; Zhou, Changjiang; Zhang, Wei; Wang, Liqiang; Yang, Qing; Yuan, Bo",2022,10.1631/FITEE.2000679,Frontiers of Information Technology & Electronic Engineering,excluded,"[manual_v1] Medição 3D para endoscópios binoculares — foco em reconstrução geométrica, não em classificação/detecção de patologias; fora do escopo metodológico.",IEEE/S1,sim
IEEE,S1,IEEE S1 — Principal: IA/DL em endoscopia digestiva alta,10373417,Generating synthetic endoscopy videos following a systematic screening protocol,"Ruano, Josué; Bravo, Diego; Jaramillo, María; Gómez, Martin; Pascau, Javier; González, Fabio; Romero, Eduardo",2023,10.1109/SIPAIM56729.2023.10373417,2023 19th International Symposium on Medical Information Processing and Analysis (SIPAIM),excluded,[manual_v1] Geração de vídeos sintéticos de endoscopia (screening protocol) — foco em síntese de dados; sem pipeline de classificação/detecção de patologia.,IEEE/S1,sim
IEEE,S1,IEEE S1 — Principal: IA/DL em endoscopia digestiva alta,10030326,Learning How to MIMIC: Using Model Explanations to Guide Deep Learning Training,"Watson, Matthew; Hasan, Bashar Awwad Shiekh; Al Moubayed, Noura",2023,10.1109/WACV56688.2023.00151,2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),excluded,Visão computacional sem vínculo com endoscopia/achados GI altos.,IEEE/S1; Web of Science/S1,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,11298216,Endoscopic Endonasal Stereoscopic Images of the Skull Base: From Creation to Automatic Evaluation,"Júnior, Milton Manrique Rastelli; Wiedmer, João Pedro Murback; Marochi, Pedro; Faria, Rubens Alexandre De; Oroski, Elder",2026,10.1109/ACCESS.2025.3643317,IEEE Access,excluded,[manual_v1] Endoscopia endonasal de base do crânio (neurocirurgia) — domínio anatômico fora de endoscopia digestiva alta.,IEEE/S5,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,883900,Towards 3D reconstruction of endoscope images using shape from shading,"Quartucci Forster, C.H.; Tozzi, C.L.",2000,10.1109/SIBGRA.2000.883900,Proceedings 13th Brazilian Symposium on Computer Graphics and Image Processing (Cat. No.PR00878),excluded,"[manual_v1] Reconstrução 3D por shape-from-shading (2000) — sem DL/CV moderno, sem classificação de patologia.",IEEE/S5,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,10235970,DeepPoly: Deep Learning-Based Polyps Segmentation and Classification for Autonomous Colonoscopy Examination,"Hossain, Md Shakhawat; Rahman, Md. Mahmudur; Syeed, M. Mahbubul; Uddin, Mohammad Faisal; Hasan, Mahady; Hossain, Md. Aulad; Ksibi, Amel; Jamjoom, Mona M.; Ullah, Zahid; Samad, Md Abdus",2023,10.1109/ACCESS.2023.3310541,IEEE Access,excluded,Foco exclusivo em colonoscopia/colorretal — fora do escopo gástrico/endoscopia alta.,IEEE/S5; IEEE/S6,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,6820756,Comparative Validation of Single-Shot Optical Techniques for Laparoscopic 3-D Surface Reconstruction,"Maier-Hein, L.; Groch, A.; Bartoli, A.; Bodenstedt, S.; Boissonnat, G.; Chang, P.-L.; Clancy, N. T.; Elson, D. S.; Haase, S.; Heim, E.; Hornegger, J.; Jannin, P.; Kenngott, H.; Kilgus, T.; Müller-Stich, B.; Oladokun, D.; Röhl, S.; dos Santos, T. R.; Schlemmer, H.-P.; Seitel, A.; Speidel, S.; Wagner, M.; Stoyanov, D.",2014,10.1109/TMI.2014.2325607,IEEE Transactions on Medical Imaging,excluded,[manual_v1] Validação de técnicas ópticas para reconstrução 3D laparoscópica — sem componente de classificação/detecção de patologia.,IEEE/S5,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,10635152,Camera Calibration Algorithm for Lung Nodule Detection in Video-Assisted Thoracoscopic Surgery,"Coércio, Rebeca M. A.; Farias, Alexandre R.; Dillenseger, Jean-Louis",2024,10.1109/ISBI56570.2024.10635152,2024 IEEE International Symposium on Biomedical Imaging (ISBI),excluded,[manual_v1] Calibração de câmera para cirurgia torácica videoassistida — fora do trato GI.,IEEE/S5,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,10374674,Polyp Detection in Colonoscopy Images Using a Vision Transformer Classifier,"De Souza, João Pedro Busnardo; Lima, Jader Tavares; Simm, Vinicius Sylvestre; Mello, Murilo Moreira; Costa, Mateus Dalla; Seixas, Monique Borges; De Figueiredo, Maria Fernanda Oliveira; Premebida, Sthefanie Monica; Dos Santos, Paulo Victor; Pacheco, Wesley; Dos Santos Lima, Heron Oliveira; Scoczynski, Marcella",2023,10.1109/INDUSCON58041.2023.10374674,2023 15th IEEE International Conference on Industry Applications (INDUSCON),excluded,Foco exclusivo em colonoscopia/colorretal — fora do escopo gástrico/endoscopia alta.,IEEE/S5; IEEE/S6,sim
IEEE,S5,IEEE S5 — IA em endoscopia com dados brasileiros / latino-americanos,10385358,BTCN: Bridging the Gap Between Pre-trained and Downstream Models for Endoscopic Caries Detection,"Gao, Nan; Li, Yukai; Liang, Ronghua; Chen, Peng; Tang, Jijun; Liu, Tianshuang",2023,10.1109/BIBM58861.2023.10385358,2023 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),excluded,[manual_v1] Detecção de cáries em imagens endoscópicas dentárias — fora do trato GI alto.,IEEE/S5; IEEE/S6,sim
