label_a,label_b,co_occurrence
ENANTEMA,EROSÃO,34
ÚLCERA,EROSÃO,21
ENANTEMA,ÚLCERA,13
ENANTEMA,PÓLIPO,4
ENANTEMA,MICRONODULARIDADE,4
ENANTEMA,NEOPLASIA,4
PÓLIPO,ÚLCERA,4
PÓLIPO,EROSÃO,4
PÓLIPO,MICRONODULARIDADE,4
PÓLIPO,NEOPLASIA,4
ÚLCERA,MICRONODULARIDADE,4
ÚLCERA,NEOPLASIA,4
EROSÃO,MICRONODULARIDADE,4
EROSÃO,NEOPLASIA,4
MICRONODULARIDADE,NEOPLASIA,4
ENANTEMA,ECTASIA VASCULAR,2
PÓLIPO,ECTASIA VASCULAR,2
ÚLCERA,ECTASIA VASCULAR,2
EROSÃO,ECTASIA VASCULAR,2
MICRONODULARIDADE,ECTASIA VASCULAR,2
ECTASIA VASCULAR,NEOPLASIA,2
